"","CUSTOMER_SK","TOTAL_No_Of_PURCHASE","TOTAL_REVENUE","RECENCY","TOTAL_No_of_VISITS","DISTINCT_PRODUCTS","AVERAGE_SPEND","CITY_NM","pkm$cluster"
"150",62344524,729,2622.39962,109,72,222,36.42221694,"HALIFAX",6
"151",22540295,791,2617.96988,242,88,319,29.74965773,"HALIFAX",2
"152",59618289,747,2605.51972,110,58,264,44.92275379,"HALIFAX",6
"153",58327318,687,2605.3896,109,35,390,74.43970286,"FREDERICTO",2
"154",22114425,969,2600.25959,242,171,406,15.20619643,"HALIFAX",6
"155",62430433,717,2595.31969,114,33,227,78.64605121,"HALIFAX",5
"156",59003863,825,2585.56962,111,119,178,21.7274758,"HALIFAX",6
"157",20666033,700,2585.48941,243,52,312,49.72095019,"HALIFAX",2
"158",59487318,699,2583.51979,111,31,313,83.33934806,"HALIFAX",2
"159",20759298,697,2576.73964,243,50,318,51.5347928,"HALIFAX",2
"160",59077043,842,2572.73969,109,104,429,24.73788163,"HALIFAX",6
"161",22760738,694,2572.73952,244,66,169,38.98090182,"HALIFAX",4
"162",59751318,738,2568.27979,109,51,345,50.35842725,"HALIFAX",6
"163",60637096,692,2565.28978,115,26,315,98.66499154,"DARTMOUTH",2
"164",22114125,911,2545.44984,242,110,329,23.14045309,"HALIFAX",2
"165",60349370,751,2542.61947,109,43,265,59.13068535,"HALIFAX",6
"166",58642186,767,2541.17958,112,31,282,81.97353484,"HALIFAX",2
"167",59077582,681,2540.81964,110,40,289,63.520491,"HALIFAX",6
"168",51829265,666,2534.46967,244,21,250,120.6890319,"BEDFORD",2
"169",59564896,807,2524.69944,109,35,302,72.13426971,"HALIFAX",2
"170",21656683,697,2524.20972,244,35,337,72.12027771,"HALIFAX",2
"171",58234395,848,2520.29971,109,38,316,66.32367658,"HALIFAX",2
"172",60484821,674,2514.23962,109,51,382,49.29881608,"HALIFAX",6
"173",61813890,627,2508.37952,117,12,290,209.0316267,"HALIFAX",5
"174",23625408,628,2505.36957,242,26,406,96.36036808,"HALIFAX",2
"175",22300853,700,2491.29994,242,65,357,38.32769138,"CHARLOTTET",2
"176",59921275,732,2490.65952,110,38,288,65.54367158,"HALIFAX",2
"177",58358415,676,2487.57993,117,19,325,130.9252595,"HALIFAX",2
"178",21388456,812,2482.08926,243,46,227,53.95846217,"HALIFAX",4
"179",20698259,734,2480.31958,242,34,353,72.95057588,"HALIFAX",2
"180",60326154,660,2477.96968,109,38,275,65.20972842,"HALIFAX",6
"181",34438715,654,2474.28981,242,71,224,34.84915225,"HALIFAX",4
"182",59500430,571,2467.38939,110,64,310,38.55295922,"HALIFAX",6
"183",60623136,849,2461.51971,111,41,232,60.0370661,"HALIFAX",6
"184",33444987,740,2460.26976,242,61,357,40.33229115,"NEW WATERF",2
"185",21123450,933,2459.53976,242,44,382,55.89863091,"HALIFAX",2
"186",64921775,639,2458.75934,109,32,368,76.83622938,"HALIFAX",2
"187",58836509,840,2457.99921,110,40,238,61.44998025,"HALIFAX",6
"188",59427920,1072,2454.54963,109,60,435,40.9091605,"HALIFAX",2
"189",21476196,648,2453.77947,249,40,304,61.34448675,"HALIFAX",4
"190",58501745,829,2450.03959,110,77,396,31.81869597,"HALIFAX",6
"191",23743254,661,2444.9698,246,20,321,122.24849,"DARTMOUTH",2
"192",21569991,581,2441.55955,249,20,401,122.0779775,"HALIFAX",2
"193",23278412,804,2439.26978,244,19,338,128.38262,"HALIFAX",2
"194",21619730,612,2434.87948,243,28,372,86.95998143,"HALIFAX",2
"195",20688412,677,2433.8296,242,54,242,45.07091852,"HALIFAX",4
"196",20718561,774,2428.66969,243,37,276,65.63972135,"HALIFAX",2
"197",59503350,739,2427.1097,112,66,285,36.77438939,"HALIFAX",6
"198",60641249,619,2426.99948,111,34,236,71.38233765,"HALIFAX",5
"199",62319212,659,2424.04957,115,18,226,134.6694206,"HALIFAX",5
"200",58896056,594,2413.92965,109,56,353,43.10588661,"HALIFAX",6
"201",60298425,816,2413.9098,111,23,339,104.9526,"HALIFAX",2
"202",40035819,607,2411.08936,244,12,256,200.9241133,"HALIFAX",5
"203",36791222,658,2409.63962,245,27,319,89.24591185,"HALIFAX",2
"204",38981350,622,2401.79969,244,24,237,100.0749871,"HALIFAX",3
"205",59035790,635,2400.44978,109,68,339,35.30073206,"HALIFAX",6
"206",22242219,721,2386.71964,245,57,275,41.87227439,"HALIFAX",4
"207",21635263,637,2366.0896,245,46,305,51.43673043,"HALIFAX",4
"208",22981918,679,2362.53979,251,31,244,76.21096097,"HALIFAX",4
"209",34920290,601,2356.36926,112,86,256,27.39964256,"HALIFAX",6
"210",39630131,839,2348.75978,250,58,327,40.49585828,"HALIFAX",2
"211",34917312,669,2342.35967,242,35,335,66.924562,"HALIFAX",2
"212",58650481,653,2340.74955,110,42,283,55.73213214,"HALIFAX",6
"213",21688304,826,2338.84975,244,88,395,26.57783807,"HALIFAX",2
"214",58983522,657,2333.06964,110,60,353,38.884494,"HALIFAX",6
"215",21015957,572,2327.1393,244,10,335,232.71393,"HALIFAX",2
"216",59618282,631,2323.92988,111,18,311,129.1072156,"HALIFAX",5
"217",22848790,624,2322.38966,242,55,282,42.22526655,"HALIFAX",4
"218",25763791,575,2321.49952,247,45,356,51.58887822,"HALIFAX",4
"219",51288842,592,2318.01977,245,62,364,37.38741565,"HALIFAX",6
"220",59567857,641,2316.59941,112,44,149,52.64998659,"HALIFAX",1
"221",61786992,858,2312.64949,110,94,144,24.60265415,"GUYSBOROUG",6
"222",28665932,628,2310.46969,242,37,270,62.44512676,"PETITE RIV",4
"223",21155118,710,2304.19979,242,117,260,19.6940153,"HALIFAX",4
