"","ITEM_SK","TOTAL_REVENUE","BASKETS","DISTINCT_CUSTOMERS","AVERAGE_PRICE","PRODUCT_NAME","PRODUCT_CAT","pkm$cluster"
"1523",11600181,1649.22996,403,179,3.867769453,"Yogurt","Dairy",1
"1524",11832833,1648.5096,314,127,4.602347476,"Fin-Fish Fr","Seafood",1
"1525",14388317,1648.45999,756,320,2.078291387,"Breads","Instore Bake",2
"1526",11743092,1648.32997,599,141,2.686862073,"Sandwich / ","Home Meal Re",2
"1527",11661112,1647.5,476,243,3.385115789,"Cereal","Grocery",2
"1528",14099488,1646.62857,179,82,9.101022022,"Boxed Meat","Meat",4
"1529",12541519,1643.15994,407,200,3.726642027,"Frozen Pizz","Frozen Groce",2
"1530",14327218,1641.87944,220,134,5.990890379,"Floral","Garden Centr",1
"1531",12894281,1641.7,495,288,3.227469636,"Internation","Grocery",2
"1532",14565146,1641.14902,215,134,7.211967723,"Boxed Meat","Meat",4
"1533",11681602,1640.71999,693,388,1.672674361,"Canned Vege","Grocery",2
"1534",11746299,1639.51995,346,84,4.129468551,"Milk Produc","Dairy",1
"1535",14916311,1638.56999,391,162,3.874791125,"Refrigerate","Produce",1
"1536",11692472,1638.38998,888,290,1.313000518,"Soft Drinks","Grocery",2
"1537",11636667,1635.93996,245,121,6.582067959,"Salads","Home Meal Re",1
"1538",14414459,1633.58955,188,77,7.425016676,"Water","Grocery",4
"1539",11820288,1630.6,444,288,3.479189189,"Household O","Grocery",2
"1540",12705425,1629.99837,163,85,9.785266288,"Organic &Na","Grocery",4
"1541",11688227,1629.43999,445,177,3.553227985,"Yogurt","Dairy",2
"1542",12787808,1628.93995,302,142,4.978576101,"Refrigerate","Dairy",1
"1543",11627220,1628.92981,265,139,5.772537519,"Frozen Ice ","Frozen Groce",1
"1544",12786632,1628.42998,392,211,3.962414949,"Organic &Na","Grocery",1
"1545",11673339,1628.16995,288,150,5.562764146,"Frozen Ice ","Frozen Groce",1
"1546",11698920,1624.90997,293,156,5.53051363,"Pastry Coun","Pastry",1
"1547",11622267,1624.49995,464,208,3.148811053,"Yogurt","Dairy",2
"1548",11663338,1623.46997,515,222,2.876446587,"Salad Items","Produce",2
"1549",12028129,1622.59998,516,259,2.987320379,"Refrigerate","Dairy",2
"1550",14520793,1622.36971,192,83,7.416857161,"Yogurt","Dairy",4
"1551",11693479,1621.73,232,167,7.146331878,"Spices","Grocery",4
"1552",11633440,1621.68951,180,92,8.751979017,"Hot Beverag","Grocery",4
"1553",13894087,1621.23,326,145,4.885538462,"Deli Meats-","Deli",1
"1554",11696797,1619.62,341,167,4.668205882,"Deli Meats-","Deli",1
"1555",11624948,1619.36996,388,188,3.818170071,"Mushrooms","Produce",1
"1556",14253816,1618.66971,402,219,3.365113175,"Bread Produ","Commercial B",2
"1557",12813129,1618.52998,426,207,3.577683867,"Yogurt","Dairy",2
